;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
414;pin_5877;101119;213.5;194.5;1.165.445.681;-8.385.141.072;-11.441.589;-4.056.355;Non Bawang Putih
418;pin_8165;101119;98.5;84.5;1.165.340.437;-8.375.696.887;-16.027.493;-92.775;Non Bawang Putih
419;pin_6959;101119;139.5;169.5;1.165.379.171;-8.383.121.042;-945.367;-34.915.516;Non Bawang Putih
423;pin_6217;101119;233.5;171.5;1.165.462.868;-8.383.050.202;-10.921.843;-2.256.415;Non Bawang Putih
424;pin_5278;101119;188.5;0.5;1.165.418.298;-8.368.016.192;-15.875.163;-1.227.622;Non Bawang Putih
426;pin_7488;101119;74.5;181.5;1.165.321.648;-8.384.355.865;-7.834.421;-28.102.653;Non Bawang Putih
430;pin_7036;101119;134.5;173.5;1.165.374.828;-8.383.488.689;-10.800.561;-22.831.638;Non Bawang Putih
433;pin_4978;101119;1.851.860.301;5.094.447.659;1.165.416.684;-8.372.494.956;-13.655.673;-8.591.931;Non Bawang Putih
437;pin_6469;101119;131.5;34.5;1.165.368.479;-8.371.179.204;-14.445.249;-8.864.491;Non Bawang Putih
438;pin_7383;101119;67.5;177.5;1.165.315.313;-838.401.986;-70.676.117;-0.4923661;Non Bawang Putih
439;pin_4854;101119;1.931.860.253;4.694.447.607;1.165.423.697;-837.211.942;-16.086.796;-8.621.138;Non Bawang Putih
441;pin_5082;101119;1.971.860.232;5.494.447.571;1.165.427.468;-8.372.817.778;-1.380.448;-9.927.871;Non Bawang Putih
444;pin_4896;101119;1.981.860.223;4.794.447.571;1.165.428.172;-8.372.194.854;-15.364.574;-8.209.533;Non Bawang Putih
445;pin_4434;101119;1.911.860.258;2.594.447.643;1.165.421.361;-8.370.263.823;-15.226.614;-10.271.633;Non Bawang Putih
450;pin_6653;101119;69.5;67.5;1.165.314.182;-8.374.266.815;-69.072.013;-35.369.618;Non Bawang Putih
451;pin_5502;101119;206.5;232.5;116.544.046;-8.388.526.814;-3.150.626;10.295.088;Non Bawang Putih
453;pin_7020;101119;137.5;172.5;1.165.377.471;-838.339.216;-10.076.184;-2.085.218;Non Bawang Putih
459;pin_6712;101119;59.5;229.5;1.165.309.572;-8.388.649.002;-7.906.173;-0.28921083;Non Bawang Putih
