,VH,VV,Class
479,-9.115821,-4.5488976999999995,Non Bawang Putih
480,-14.073995000000002,-9.104096,Bawang Putih
481,-16.744993,-11.486239999999999,Bawang Putih
482,-7.884577,-2.448704,Non Bawang Putih
483,-13.627192,-5.421985,Non Bawang Putih
484,-14.511739000000002,-7.023507,Bawang Putih
485,-12.36223,-9.3702545,Bawang Putih
486,-8.775874,-3.6737684999999995,Non Bawang Putih
487,-15.672985,-11.235441,Non Bawang Putih
488,-7.940455,-0.9743011,Non Bawang Putih
489,-14.2173395,-8.53766,Bawang Putih
490,-7.7833686,-2.0419123,Non Bawang Putih
491,-13.389213,-7.7733191999999995,Bawang Putih
492,-14.157782000000001,-8.402778,Non Bawang Putih
493,-14.523260999999998,-7.662114,Bawang Putih
494,-14.997456,-9.938391000000001,Bawang Putih
495,-13.638812,-6.72737,Bawang Putih
496,-12.352628999999999,-0.25373979999999996,Non Bawang Putih
497,-13.924566,-8.284683,Bawang Putih
498,-7.748133999999999,-2.8306255,Non Bawang Putih
499,-16.433542000000003,-7.678122999999999,Non Bawang Putih
500,-15.898013,-6.403441,Bawang Putih
501,-13.866422,-9.2604885,Non Bawang Putih
502,-14.468944,-9.443451,Bawang Putih
503,-12.558106,-0.11426489,Non Bawang Putih
504,-17.224552,-9.157888,Non Bawang Putih
505,-15.506159,-8.7548065,Non Bawang Putih
506,-15.563782999999999,-7.594727000000001,Bawang Putih
507,-13.018460000000001,0.13829696,Non Bawang Putih
508,-14.709655999999999,-7.223921000000001,Bawang Putih
509,-13.672452999999999,-9.111286,Non Bawang Putih
510,-16.537575,-9.070637,Bawang Putih
511,-9.886116000000001,0.09122695,Non Bawang Putih
512,-15.077568,-9.736305999999999,Non Bawang Putih
513,-15.246376999999999,-8.574079,Non Bawang Putih
514,-14.53235,-6.303392,Bawang Putih
515,-10.479827,-3.009817,Non Bawang Putih
516,-15.777575,-7.039886500000001,Bawang Putih
517,-14.770268,-8.453395,Non Bawang Putih
518,-14.311326000000001,-6.746036999999999,Bawang Putih
519,-15.282026,-6.862069,Non Bawang Putih
520,-14.728044,-7.733961999999999,Bawang Putih
521,-15.506560999999998,-8.470463,Bawang Putih
522,-14.596178,-6.9541520000000006,Bawang Putih
523,-14.023782999999998,-8.672202,Bawang Putih
524,-11.372022,-1.4694227,Non Bawang Putih
525,-6.0439620000000005,1.0485399,Non Bawang Putih
526,-13.496441,-11.095058,Bawang Putih
527,-15.065294,-9.494401,Bawang Putih
528,-15.229313000000001,-9.948263,Non Bawang Putih
529,-12.846842,-8.393467,Bawang Putih
530,-8.469677,0.6197741,Non Bawang Putih
