,VH,VV,VV-VH,VV/VH,(VV+VH)/2,Class
97,-14.141389000000002,-10.513171,3.628218000000002,0.7434326995742779,-12.327280000000002,Non Bawang Putih
98,-14.6536665,-9.088538,5.5651285,0.620222795434849,-11.87110225,Bawang Putih
99,-15.321537,-8.836572,6.484964999999999,0.5767418764840629,-12.0790545,Non Bawang Putih
100,-16.725624,-8.62497,8.100654,0.5156740340450078,-12.675297,Non Bawang Putih
101,-15.113148,-7.334414,7.778734000000001,0.48530021673843193,-11.223781,Bawang Putih
102,-15.117419,-6.8405085,8.2769105,0.45249182416654593,-10.97896375,Bawang Putih
103,-9.46898,-1.3126118999999998,8.1563681,0.13862231201248706,-5.39079595,Non Bawang Putih
104,-14.776658,-9.243277,5.5333809999999986,0.6255323091324169,-12.0099675,Bawang Putih
105,-8.259922999999999,-3.0267906000000004,5.233132399999999,0.3664429559452311,-5.643356799999999,Non Bawang Putih
106,-8.96617,-2.180371,6.785799,0.24317752172889875,-5.5732705,Non Bawang Putih
