,VH,VV,Class
291,-13.579760999999998,-5.7900176,Non Bawang Putih
292,-11.058744,-6.3229275000000005,Bawang Putih
293,-14.451579999999998,-9.404444,Bawang Putih
294,-14.197002,-6.1428456,Non Bawang Putih
295,-16.053879000000002,-8.255772,Bawang Putih
296,-13.96999,-9.836891,Bawang Putih
297,-15.872943,-10.144617,Bawang Putih
298,-6.007182599999998,-1.8740541,Non Bawang Putih
299,-8.018381,4.6875243,Non Bawang Putih
300,-11.457312,-2.91494,Non Bawang Putih
301,-14.971334,-8.497932,Bawang Putih
302,-14.740776,-9.265395,Bawang Putih
303,-13.116554,-8.515005,Non Bawang Putih
304,-15.643157999999998,-9.970852,Bawang Putih
305,-6.682299,-2.7831612,Non Bawang Putih
306,-13.169584,-8.081422,Non Bawang Putih
307,-12.860421,-7.613973,Bawang Putih
308,-14.845059,-8.86815,Non Bawang Putih
309,-15.956489,-11.262765,Bawang Putih
310,-13.651578,-12.221992,Bawang Putih
311,-17.091806,-10.594253,Bawang Putih
312,-15.137216,-9.721945,Bawang Putih
313,-10.478492,-4.3489265,Non Bawang Putih
314,-14.052151,-9.390842,Bawang Putih
315,-17.710635999999994,-9.300507,Non Bawang Putih
316,-9.619976,-2.0439968,Non Bawang Putih
317,-14.871787,-9.024431,Bawang Putih
318,-13.6547365,-8.6477,Bawang Putih
319,-5.755125,-0.13902505,Non Bawang Putih
320,-17.25461,-9.163349,Non Bawang Putih
321,-14.2032385,-8.36143,Bawang Putih
322,-8.15316,-1.393799,Non Bawang Putih
323,-15.725407999999998,-6.93933,Non Bawang Putih
324,-8.817223,5.2626452000000015,Non Bawang Putih
325,-13.668819,-7.3208,Bawang Putih
326,-7.4047914000000015,-0.28975788,Non Bawang Putih
327,-15.947031,-9.314097,Non Bawang Putih
328,-16.127615,-9.522426,Bawang Putih
329,-6.171572,1.071219,Non Bawang Putih
330,-15.046139000000002,-9.371774,Bawang Putih
331,-15.284362,-9.951022,Bawang Putih
332,-12.377152,-9.407533,Bawang Putih
333,-15.709695000000002,-10.803496,Non Bawang Putih
334,-16.052101,-9.350633,Non Bawang Putih
335,-13.575022,-7.2055902000000005,Bawang Putih
336,-10.701565,0.14860745,Non Bawang Putih
337,-12.978006,-6.1030803,Bawang Putih
338,-16.849798,-7.281204700000001,Bawang Putih
339,-12.995151,-5.9446583,Bawang Putih
340,-16.19295,-9.316735,Bawang Putih
341,-15.458052,-7.7374353,Bawang Putih
342,-15.188106,-7.43697,Non Bawang Putih
343,-15.613170000000002,-9.479763,Non Bawang Putih
344,-16.921902,-8.609123,Non Bawang Putih
345,-14.606993,-6.100153400000001,Non Bawang Putih
346,-15.170753,-8.828837,Bawang Putih
347,-16.267073,-9.474107,Bawang Putih
348,-14.104987,-10.054761,Bawang Putih
349,-11.203885,-1.9918854,Non Bawang Putih
350,-13.316094,-2.5562875,Non Bawang Putih
351,-14.615053,-8.106894500000001,Bawang Putih
352,-17.365063,-9.1346,Bawang Putih
353,-16.163294,-8.190138000000001,Non Bawang Putih
354,-9.193854,-1.908866,Non Bawang Putih
355,-13.56561,-8.714982000000001,Bawang Putih
356,-10.356628,-5.1356983,Non Bawang Putih
357,-12.085477,-0.28487957,Non Bawang Putih
358,-7.5813570000000015,-0.16364548,Non Bawang Putih
359,-13.415499,-8.686113,Non Bawang Putih
360,-15.154796,-8.191581,Bawang Putih
361,-15.015907,-7.5879803,Bawang Putih
362,-15.692423000000002,-7.665963599999999,Bawang Putih
363,-12.758754,-6.905161,Bawang Putih
364,-3.0461535,1.7457699,Non Bawang Putih
365,-15.042814000000002,-6.3409424,Bawang Putih
366,-13.777515,-6.145137,Non Bawang Putih
367,-16.737061999999998,-10.735234,Non Bawang Putih
368,-12.88132,-8.962467,Bawang Putih
369,-12.884955,-9.613856,Bawang Putih
