;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
8236;pin_1394;250719;110,4903546;51,49880169;116,5350869;-8,372702949;-13,294443;-8,221777;Bawang Putih
8237;pin_981;250719;96,49036434;94,49880223;116,5339549;-8,376550287;-12,642298;-7,168488;Bawang Putih
8238;pin_530;250719;140,4903371;56,49879955;116,5377696;-8,373066986;-13,897361;-9,873743;Bawang Putih
8239;pin_4153;250719;175,4600463;39,35105824;116,5408358;-8,371455317;-13,114399;-10,389056;Bawang Putih
8240;pin_1702;250719;99,49036207;79,49880218;116,5341821;-8,375213152;-12,045176;-11,188408;Bawang Putih
8241;pin_7240;221119;143,5;181,5;116,5383581;-8,384110916;-14,28495;-2,157115;Non Bawang Putih
8242;pin_3683;250719;198,4600329;44,35105658;116,5428956;-8,371837768;-13,009631;-7,954364;Bawang Putih
8243;pin_1560;250719;82,49037173;68,49880347;116,5326403;-8,374283167;-14,014734;-10,546029;Bawang Putih
8244;pin_1480;250719;85,49036986;65,4988033;116,5328993;-8,374009417;-15,576779;-9,996224;Bawang Putih
8245;pin_2391;250719;175,4903153;23,49879744;116,5407966;-8,370050518;-13,677324;-8,603589;Bawang Putih
8246;pin_5247;221119;171,5567544;39,635103;116,540479;-8,371465776;-18,127356;-9,238866;Non Bawang Putih
8247;pin_2484;250719;174,490316;26,49879747;116,5407155;-8,370318992;-15,413188;-8,094144;Bawang Putih
8248;pin_8125;221119;110,5;83,5;116,5351622;-8,375513713;-13,300964;-8,19741;Non Bawang Putih
8249;pin_4622;221119;174,5567505;34,63510268;116,5407328;-8,371014805;-16,408504;-9,089692;Non Bawang Putih
8250;pin_2481;250719;171,4903177;26,49879768;116,5404486;-8,370326896;-13,645485;-8,344388;Bawang Putih
8251;pin_3247;250719;238,5;100,5;116,546607;-8,376707656;-14,344811;-7,1567626;Bawang Putih
8252;pin_4625;221119;177,5567469;34,63510226;116,5409997;-8,3710069;-14,713988;-7,719831;Non Bawang Putih
8253;pin_3186;250719;237,5;103,5;116,546526;-8,376976128;-14,914737;-8,337671;Bawang Putih
8254;pin_1392;250719;108,4903558;51,49880183;116,5349089;-8,372708217;-14,985566;-7,877193;Bawang Putih
8255;pin_7865;221119;87,5;68,5;116,5330759;-8,374245079;-15,528038;-12,547828;Non Bawang Putih
8256;pin_6109;221119;224,8706896;168,1906203;116,5455634;-8,382716793;-11,703916;-3,435971;Non Bawang Putih
8257;pin_5380;221119;280,8706512;15,19061795;116,550141;-8,369011589;-13,170509;-3,987304;Non Bawang Putih
8258;pin_708;250719;125,4903462;63,49880052;116,5364533;-8,373726809;-14,061548;-10,777621;Bawang Putih
8259;pin_5161;221119;175,5567508;57,63510207;116,5408826;-8,373050273;-16,543194;-8,180595;Non Bawang Putih
8260;pin_3853;250719;194,4600355;50,3510568;116,5425556;-8,372379987;-12,957273;-8,299182;Bawang Putih
8261;pin_8130;221119;115,5;83,5;116,5356071;-8,375500537;-16,298267;-9,553747;Non Bawang Putih
8262;pin_1298;250719;124,4903462;47,49880076;116,536322;-8,37231161;-10,900328;-9,868055;Bawang Putih
8263;pin_4317;221119;170,5567545;23,63510347;116,5403477;-8,370050598;-16,68818;-8,571281;Non Bawang Putih
8264;pin_3350;250719;240,5;107,5;116,5468035;-8,377322659;-13,254586;-9,985875;Bawang Putih
8265;pin_4875;221119;176,5567491;48,63510212;116,5409478;-8,37225012;-14,288108;-7,6083074;Non Bawang Putih
8266;pin_2819;250719;236,5;64,5;116,5463337;-8,373522921;-15,266202;-8,722034;Bawang Putih
8267;pin_1104;250719;136,4903414;114,4987992;116,5375671;-8,378217151;-13,27779;-8,213603;Bawang Putih
8268;pin_8268;221119;118,5;102,5;116,5359243;-8,377176312;-14,27324;-9,12955;Non Bawang Putih
8269;pin_8325;221119;119,5;104,5;116,5360186;-8,377350905;-17,155457;-9,835284;Non Bawang Putih
8270;pin_7075;221119;146,5;175,5;116,5386092;-8,383571318;-10,251449;-1,2151074;Non Bawang Putih
8271;pin_4667;221119;172,5567516;15,63510335;116,5405045;-8,369336422;-13,817272;-7,9258265;Non Bawang Putih
8272;pin_4046;250719;192,4600369;57,35105687;116,5423961;-8,373005547;-15,011756;-8,192984;Bawang Putih
8273;pin_5245;221119;173,5567521;40,6351027;116,5406597;-8,37154912;-18,043844;-10,077895;Non Bawang Putih
8274;pin_3036;250719;230,5;110,5;116,5459217;-8,377614875;-15,243009;-7,0160227;Bawang Putih
8275;pin_657;250719;124,4903459;37,49880086;116,5362956;-8,371425464;-16,525614;-11,330257;Bawang Putih
8276;pin_2277;250719;178,4903134;19,49879727;116,5410529;-8,369688161;-15,6421175;-7,898004;Bawang Putih
8277;pin_6335;221119;116,5;125,5;116,5358072;-8,379219723;-13,535099;-7,4680433;Non Bawang Putih
8278;pin_5486;221119;210,8707;231,1906207;116,5444847;-8,388336302;-6,610446;-0,7062166;Non Bawang Putih
8279;pin_268;250719;125,4903485;133,4987998;116,5366386;-8,379929827;-14,190915;-11,8010025;Bawang Putih
8280;pin_5705;221119;226,8706903;223,1906196;116,5458872;-8,387585149;-4,233426;3,1534195;Non Bawang Putih
8281;pin_3869;250719;195,4600349;51,35105672;116,5426472;-8,372465963;-12,989701;-8,337534;Bawang Putih
8282;pin_2427;250719;193,4903048;29,49879611;116,5424141;-8,370534768;-11,7478;-6,8899894;Bawang Putih
8283;pin_3341;250719;240,5;108,5;116,5468062;-8,37741127;-13,992031;-9,261878;Bawang Putih
8284;pin_1720;250719;116,490352;79,49880099;116,5356948;-8,375168359;-12,684985;-7,141802;Bawang Putih
8285;pin_6240;221119;218,8706956;240,19062;116,5452205;-8,389112678;-10,992437;-3,8980207;Non Bawang Putih
8286;pin_8121;221119;107,5;83,5;116,5348952;-8,375521618;-13,9008665;-9,961771;Non Bawang Putih
